date,geounit,ncumul_delivered,ncumul_vacc,ncumul_vacc_per100pop,ncumul_fully_vacc,ncumul_fully_vacc_per100pop
2021-03-07,FR,44300,37911,11.78,11622,3.61
2021-03-07,GE,68100,60866,12.07,20171,4
2021-03-07,GL,5930,5471,13.48,2452,6.04
2021-03-07,GR,33650,23194,11.65,7468,3.75
2021-03-07,JU,10575,8829,12,2855,3.88
2021-03-07,LU,60575,44307,10.72,18762,4.54
2021-03-07,NE,27925,20917,11.85,5507,3.12
2021-03-07,NW,7190,6450,14.97,3096,7.19
2021-03-07,OW,5810,4661,12.29,2045,5.39
2021-03-07,SG,75800,53456,10.47,15145,2.97
2021-03-07,SH,14375,12713,15.44,4951,6.01
2021-03-07,SO,42100,35056,12.74,14102,5.12
2021-03-07,SZ,20175,16377,10.21,5378,3.35
2021-03-07,TG,41150,30008,10.73,10831,3.87
2021-03-07,TI,61775,44274,12.6,19162,5.45
2021-03-07,UR,6700,5346,14.57,2096,5.71
2021-03-07,VD,111325,91617,11.38,29239,3.63
2021-03-07,VS,54375,40325,11.67,14560,4.21
2021-03-07,ZG,18325,17459,13.68,7319,5.73
2021-03-07,ZH,185250,141707,9.21,50817,3.3
2021-03-10,AG,87675,80458,11.73,25203,3.67
2021-03-10,AI,2275,2403,14.9,1097,6.8
2021-03-10,AR,9145,7034,12.69,2979,5.37
2021-03-10,BE,156075,116032,11.16,40804,3.93
2021-03-10,BL,49925,36093,12.47,10718,3.7
2021-03-10,BS,32650,27258,13.92,11705,5.98
2021-03-10,CH,1276050,1035134,12.03,368471,4.28
2021-03-10,CHFL,1281575,1038671,12.02,369292,4.27
2021-03-10,FL,5525,3537,9.13,821,2.12
2021-03-10,FR,46250,39457,12.26,12103,3.76
2021-03-10,GE,71025,66986,13.29,22848,4.53
2021-03-10,GL,5930,5655,13.93,2452,6.04
2021-03-10,GR,34625,25902,13.01,8364,4.2
2021-03-10,JU,11550,9505,12.92,3130,4.25
2021-03-10,LU,63500,47131,11.41,18992,4.6
2021-03-10,NE,28900,23694,13.42,7649,4.33
2021-03-10,NW,7190,6592,15.3,3146,7.3
2021-03-10,OW,5810,4971,13.11,2045,5.39
2021-03-10,SG,79700,65700,12.86,22262,4.36
2021-03-10,SH,14375,13138,15.95,5319,6.46
2021-03-10,SO,44050,37112,13.48,15005,5.45
2021-03-10,SZ,24075,18482,11.52,6089,3.79
2021-03-10,TG,43100,32057,11.47,12396,4.43
2021-03-10,TI,64700,48259,13.73,21757,6.19
2021-03-10,UR,6700,5716,15.57,2279,6.21
2021-03-10,VD,115225,97514,12.11,30450,3.78
2021-03-10,VS,57300,44515,12.88,16285,4.71
